RECLOC,ORIG_CD,DEST_CD,DEP_DTML,ARR_DTML
559,Lucknow,Hyderabad,15:45,17:45
580,Kochi,Hyderabad,04:45,06:15
587,Kochi,Hyderabad,17:20,19:20
587,Kochi,Hyderabad,17:50,19:20
,Kochi,Hyderabad,12:50,14:00
553,Ahmedabad,Kochi,11:05,12:45
553,Ahmedabad,Hyderabad,11:00,12:45
552,Ahmedabad,Hyderabad,20:35,22:20
552,Ahmedabad,Hyderabad,20:40,22:20
701,Jaipur,Hyderabad,08:55,10:55
431,Jaipur,Hyderabad,12:45,15:05
894,Bengaluru,Hyderabad,11:30,12:40
952,Guwahati,Hyderabad,07:25,09:45
662,Goa,Hyderabad,10:45,12:10
125,Kolkata,Hyderabad,17:10,19:20
424,Hyderabad,Delhi,10:20,12:45
996,Hyderabad,Delhi,22:55,01:25
616,Nagpur,Delhi,08:25,10:05
158,Bagdogra,Delhi,13:40,16:10
151,Bagdogra,Delhi,17:05,19:25
851,Bagdogra,Delhi,15:25,17:40
758,Bagdogra,Delhi,16:20,18:35
208,Lucknow,Delhi,06:40,08:00
208,Lucknow,Delhi,06:40,08:00
188,Lucknow,Delhi,18:30,20:00
327,Mumbai,Delhi,07:55,10:10
643,Mumbai,Delhi,21:15,23:30
712,Leh,Delhi,09:25,11:05
221,Leh,Delhi,11:25,12:55
134,Patna,Delhi,08:15,10:05
134,Patna,Delhi,08:15,10:05
944,Patna,Delhi,12:55,14:45
132,Patna,Delhi,16:05,17:55
150,Patna,Delhi,17:10,18:55
218,Patna,Delhi,20:05,21:55
144,Patna,Delhi,22:25,00:20
144,Patna,Delhi,22:25,00:20
720,Ahmedabad,Delhi,08:10,09:50
718,Ahmedabad,Delhi,17:35,19:15
714,Ahmedabad,Delhi,22:20,00:10
720,Ahmedabad,Delhi,09:30,11:20
720,Ahmedabad,Delhi,09:30,11:20
718,Ahmedabad,Delhi,18:55,20:40
116,Bengaluru,Delhi,07:45,10:40
124,Bengaluru,Delhi,11:40,14:35
118,Bengaluru,Delhi,20:55,23:50
246,Ranchi,Delhi,11:10,13:10
174,Pune,Delhi,10:45,13:10
174,Pune,Delhi,11:15,13:30
278,Pune,Delhi,20:55,23:15
155,Guwahati,Delhi,17:20,20:15
205,Jammu,Delhi,11:10,12:55
186,Jammu,Delhi,16:00,17:25
285,Goa,Delhi,17:45,20:15
102,Kolkata,Delhi,14:20,16:55
129,Srinagar,Delhi,09:25,11:10
129,Srinagar,Delhi,11:15,12:50
224,Srinagar,Delhi,15:40,16:45
697,Srinagar,Delhi,16:15,17:45
736,Patna,Bhubaneswar,18:55,20:10
760,Kolkata,Bhubaneswar,09:40,10:55
405,Kolkata,Bhubaneswar,21:50,23:05
615,Delhi,Nagpur,06:05,07:55
142,Mumbai,Nagpur,19:00,20:40
473,Patna,Nagpur,22:35,23:45
809,Bengaluru,Nagpur,11:10,12:45
812,Bengaluru,Nagpur,22:10,23:55
812,Bengaluru,Nagpur,23:00,00:45
283,Pune,Nagpur,07:40,08:55
157,Delhi,Bagdogra,11:15,13:10
155,Delhi,Bagdogra,13:30,15:30
151,Guwahati,Bagdogra,15:30,16:35
981,Chennai,Bagdogra,09:50,12:40
541,Kolkata,Bagdogra,12:55,14:10
207,Delhi,Lucknow,05:00,06:10
207,Delhi,Lucknow,05:00,06:10
211,Delhi,Lucknow,09:00,10:15
214,Delhi,Lucknow,16:50,18:00
463,Mumbai,Lucknow,04:55,07:20
395,Mumbai,Lucknow,10:35,12:55
395,Mumbai,Lucknow,10:35,12:55
395,Mumbai,Lucknow,10:35,12:55
497,Mumbai,Lucknow,15:10,17:25
805,Bengaluru,Lucknow,08:20,10:45
808,Bengaluru,Lucknow,16:00,18:30
808,Bengaluru,Lucknow,16:40,19:05
805,Bengaluru,Lucknow,08:20,10:35
581,Hyderabad,Kochi,06:50,08:55
701,Hyderabad,Kochi,11:45,13:20
591,Hyderabad,Kochi,20:25,21:15
347,Mumbai,Kochi,10:45,12:50
336,Mumbai,Kochi,17:15,19:20
701,Ahmedabad,Kochi,10:50,13:20
729,Ahmedabad,Kochi,17:30,20:30
411,Bengaluru,Kochi,12:50,13:50
592,Goa,Kochi,22:20,23:55
943,Kolkata,Kochi,10:50,13:35
530,Delhi,Mumbai,07:00,09:15
640,Delhi,Mumbai,18:05,20:25
544,Delhi,Mumbai,22:40,01:00
247,Bhubaneswar,Mumbai,19:55,22:35
141,Nagpur,Mumbai,09:25,10:50
464,Lucknow,Mumbai,07:55,10:20
404,Lucknow,Mumbai,13:25,15:45
404,Lucknow,Mumbai,13:25,15:45
404,Lucknow,Mumbai,13:25,15:45
396,Lucknow,Mumbai,18:00,20:20
468,Kochi,Mumbai,13:20,15:30
345,Kochi,Mumbai,19:50,22:00
586,Patna,Mumbai,14:15,17:00
465,Port Blair,Mumbai,07:55,11:35
459,Ahmedabad,Mumbai,09:25,10:40
368,Ahmedabad,Mumbai,20:05,21:25
413,Ahmedabad,Mumbai,00:35,02:00
537,Ahmedabad,Mumbai,19:55,21:25
388,Jaipur,Mumbai,08:15,10:05
388,Jaipur,Mumbai,08:15,10:05
388,Jaipur,Mumbai,08:15,10:05
520,Bengaluru,Mumbai,16:40,18:30
426,Bengaluru,Mumbai,22:05,00:05
418,Bengaluru,Mumbai,05:45,07:20
395,Bengaluru,Mumbai,08:15,10:00
706,Ranchi,Mumbai,11:25,13:55
706,Ranchi,Mumbai,11:25,13:55
706,Ranchi,Mumbai,11:25,13:55
484,Ranchi,Mumbai,19:15,22:00
582,Chandigarh,Mumbai,11:25,13:55
582,Chandigarh,Mumbai,11:25,13:55
582,Chandigarh,Mumbai,11:25,13:55
302,Chennai,Mumbai,05:00,06:55
304,Chennai,Mumbai,13:45,15:40
478,Goa,Mumbai,13:10,14:35
287,Srinagar,Mumbai,15:30,18:25
710,Delhi,Leh,07:25,08:55
220,Delhi,Leh,09:15,10:55
205,Jammu,Leh,09:45,10:55
135,Delhi,Patna,06:05,07:45
135,Delhi,Patna,06:05,07:45
149,Delhi,Patna,15:10,16:40
217,Delhi,Patna,17:55,19:35
737,Bhubaneswar,Patna,20:45,22:05
585,Mumbai,Patna,11:20,13:45
272,Bengaluru,Patna,09:15,11:50
373,Bengaluru,Patna,09:20,11:50
761,Kolkata,Patna,13:25,14:45
461,Mumbai,Port Blair,04:00,07:25
802,Bengaluru,Port Blair,11:45,14:30
802,Bengaluru,Port Blair,12:10,14:45
802,Bengaluru,Port Blair,11:55,14:30
802,Bengaluru,Port Blair,11:55,14:30
802,Bengaluru,Port Blair,12:10,14:50
802,Bengaluru,Port Blair,12:10,14:50
305,Chennai,Port Blair,08:15,10:30
